time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
525.468,88.7817,1.97342,0,9.60642,0.0814307,-1.80584,-1.21951,-0.518293,-1.67683,-9.9561,-0.507744,0.399968,-13.7805,-39.1159,0.426829
525.478,88.7879,2.02641,0,9.63037,0.0934058,-1.88249,-0.97561,-0.884146,-1.40244,-9.92257,-0.462239,0.538879,-12.8049,-40.9756,-0.304878
525.488,88.7875,2.07354,0,9.55134,0.105381,-1.81303,-0.823171,-1.67683,-1.70732,-9.98244,-0.455054,0.522114,-14.0549,-45,0.701219
525.498,88.7913,2.12784,0,9.53457,0.0886157,-1.83698,-1.06707,-1.64634,-1.61585,-10.0256,-0.488584,0.56283,-13.811,-46.7683,0.121951
525.508,88.7918,2.15985,0,9.62319,0.0981958,-1.78908,-1.95122,-1.7378,-1.70732,-10.0016,-0.517324,0.471819,-15.3354,-47.561,0.213415
525.519,88.7964,2.19192,0,9.70222,0.112566,-1.82261,-2.34756,-2.5,-1.25,-9.96568,-0.55804,0.476609,-13.872,-46.7683,-0.0609756
525.528,88.8179,2.21966,0,9.7118,0.0694556,-1.87051,-1.82927,-4.20732,-0.792683,-9.92975,-0.622705,0.459844,-13.6585,-48.689,-0.396341
525.539,88.8325,2.26295,0,9.58247,0.114961,-1.9232,-2.62195,-6.31098,-0.640244,-9.93215,-0.61073,0.531694,-12.8354,-50.2439,-0.304878
525.549,88.872,2.3059,0,9.45075,0.00718506,-1.79147,-1.06707,-6.09756,-0.792683,-9.9537,-0.570015,0.536484,-10.4878,-53.0183,-0.487805
525.559,88.8775,2.34184,0,9.44117,0.110171,-1.85135,-0.853659,-4.84756,-1.12805,-9.90101,-0.529299,0.510139,-9.60366,-53.2927,-1.06707
525.569,88.8752,2.34315,0,9.50104,0.114961,-1.78908,-2.04268,-3.59756,-1.55488,-9.91299,-0.481399,0.366438,-9.57317,-52.1341,-1.12805
525.578,88.8802,2.35339,0,9.62798,0.0814307,-1.92081,-3.9939,-4.08537,-1.43293,-9.84114,-0.519719,0.404758,-9.57317,-49.7866,-1.52439
